status,mode,query_selector,final_selector,force_k,stop_disabled,mae,mse,oracle_match_rate,regret_to_full_oracle,average_experts_used,selection_counts,stop_step_distribution,note
ok,forced_exact_k,predicted_error,oracle,1,True,0.3653925955295563,0.3352326452732086,0.2349102795124054,0.04724934697151184,1.0,"{""DLinear"": 297, ""ModernTCN"": 316, ""PatchTST"": 0, ""TimesNet"": 0, ""iTransformer"": 0}","{""1"": 613}",
ok,forced_exact_k,predicted_error,equal_average,1,True,0.3653925955295563,0.3352326452732086,,0.04724934697151184,1.0,"{""DLinear"": 297, ""ModernTCN"": 316, ""PatchTST"": 0, ""TimesNet"": 0, ""iTransformer"": 0}","{""1"": 613}",selection_counts are utilization counts because forecasts are averaged
skipped,forced_exact_k,predicted_error,learned_sparse_mixer,1,True,,,,,,{},{},learned sparse queried-subset mixer is not available in the current COSTARTS checkpoint
ok,forced_exact_k,predicted_error,model,2,True,0.3700985014438629,0.3458804190158844,0.19086460769176483,0.05195525288581848,2.0,"{""DLinear"": 613, ""ModernTCN"": 0, ""PatchTST"": 0, ""TimesNet"": 0, ""iTransformer"": 0}","{""2"": 613}",
ok,forced_exact_k,predicted_error,oracle,2,True,0.34038734436035156,0.28776469826698303,0.4453507363796234,0.02224409580230713,2.0,"{""DLinear"": 325, ""ModernTCN"": 182, ""PatchTST"": 0, ""TimesNet"": 0, ""iTransformer"": 106}","{""2"": 613}",
ok,forced_exact_k,predicted_error,equal_average,2,True,0.35986068844795227,0.3229352533817291,,0.04171743988990784,2.0,"{""DLinear"": 613, ""ModernTCN"": 354, ""PatchTST"": 0, ""TimesNet"": 0, ""iTransformer"": 259}","{""2"": 613}",selection_counts are utilization counts because forecasts are averaged
skipped,forced_exact_k,predicted_error,learned_sparse_mixer,2,True,,,,,,{},{},learned sparse queried-subset mixer is not available in the current COSTARTS checkpoint
ok,forced_exact_k,predicted_error,model,3,True,0.3700985014438629,0.3458804190158844,0.19086460769176483,0.05195525288581848,3.0,"{""DLinear"": 613, ""ModernTCN"": 0, ""PatchTST"": 0, ""TimesNet"": 0, ""iTransformer"": 0}","{""3"": 613}",
ok,forced_exact_k,predicted_error,oracle,3,True,0.3262849450111389,0.26748719811439514,0.6541598439216614,0.008141696453094482,3.0,"{""DLinear"": 200, ""ModernTCN"": 267, ""PatchTST"": 0, ""TimesNet"": 15, ""iTransformer"": 131}","{""3"": 613}",
ok,forced_exact_k,predicted_error,equal_average,3,True,0.35372719168663025,0.31590524315834045,,0.035583943128585815,3.0,"{""DLinear"": 613, ""ModernTCN"": 591, ""PatchTST"": 0, ""TimesNet"": 38, ""iTransformer"": 597}","{""3"": 613}",selection_counts are utilization counts because forecasts are averaged
skipped,forced_exact_k,predicted_error,learned_sparse_mixer,3,True,,,,,,{},{},learned sparse queried-subset mixer is not available in the current COSTARTS checkpoint
